AÑO,CCAA,KG RECOGIDOS,HABITANTES,CONTENEDOR
2010,COMUNIDAD VALENCIANA,24166,2224,Azul
2010,COMUNIDAD VALENCIANA,53030,5902,Azul
2010,MADRID,185918,6413,Azul
2010,COMUNIDAD VALENCIANA,2980,549,Azul
2010,COMUNIDAD VALENCIANA,6844,1079,Azul
2010,CANARIAS,41310,5502,Azul
2010,CANARIAS,3827946,381847,Azul
2010,MADRID,1127310,54055,Azul
2010,CEUTA,1317613,78674,Azul
2010,CATALUÑA,588645,25092,Azul
2010,GALICIA,1450900,85577,Azul
2010,MADRID,130863,7023,Azul
2010,COMUNIDAD VALENCIANA,8040,1969,Azul
2010,COMUNIDAD VALENCIANA,263455,34565,Azul
2010,COMUNIDAD VALENCIANA,185237,14167,Azul
2010,COMUNIDAD VALENCIANA,26022,1942,Azul
2010,MADRID,192075,9387,Azul
2010,COMUNIDAD VALENCIANA,9265,1106,Azul
2010,COMUNIDAD VALENCIANA,282260,22706,Azul
2010,COMUNIDAD VALENCIANA,24200,1806,Azul
2010,COMUNIDAD VALENCIANA,72000,6163,Azul
2010,MADRID,141669,6473,Azul
2010,COMUNIDAD VALENCIANA,12074,2199,Azul
2010,COMUNIDAD VALENCIANA,856470,74458,Azul
2010,MADRID,41676,1466,Azul
2010,ANDALUCIA,2673454,234880,Azul
2010,MADRID,1685915,55027,Azul
2010,ARAGON,583943,15621,Azul
2010,EXTREMADURA,65320,6178,Azul
2010,MADRID,269500,13835,Azul
2010,EXTREMADURA,47460,2804,Azul
2010,EXTREMADURA,67680,6517,Azul
2010,EXTREMADURA,1566620,93131,Azul
2010,EXTREMADURA,50900,4879,Azul
2010,EXTREMADURA,104470,10338,Azul
